Query_id	TC_number
total_10305905	3.D.1.6.3
total_10307006	3.A.1.1.3
total_10307083	3.A.1.4.1
total_10307586	3.A.1.27.2
total_10309326	3.B.1.1.2
total_10309539	3.A.1.7.1
total_10309593	3.D.1.6.4
total_10311089	3.A.1.9.1
total_10311090	3.A.1.9.1
total_10313385	3.D.1.2.1
total_10313770	3.A.1.5.20
total_10313771	3.A.1.5.20
total_10313772	3.A.1.5.20
total_10313774	3.A.1.5.20
total_10313775	3.A.1.5.12
total_10313776	3.A.1.5.11
total_10314098	3.A.1.6.1
total_1031621	9.A.41.1.1
total_10318061	9.A.34.2.1
total_1031829	3.B.1.1.2
total_10323219	3.A.1.1.25
total_10323911	3.A.1.125.1
total_10324608	8.A.9.1.1
total_10325176	2.A.1.6.8
total_10328112	3.A.15.2.1
total_10329197	9.A.34.1.1
total_10329919	3.A.1.132.1
total_10330856	3.A.1.2.1
total_10332788	3.A.1.1.11
total_10332789	3.A.1.1.11
total_10332970	2.A.1.7.2
total_10334137	3.A.1.7.1
total_10334149	3.A.7.9.1
total_10337007	3.A.1.5.2
total_10338727	3.A.1.5.19
total_10338861	3.A.1.5.13
total_10339225	3.A.1.6.1
total_10339673	3.A.1.8.1
total_10340646	3.A.1.7.1
total_10340688	3.A.1.1.25
total_10340811	3.B.1.1.3
total_10343268	3.A.1.6.3
total_10344229	3.A.1.1.25
total_10345496	3.A.1.11.1
total_10346158	3.A.1.115.1
total_1034635	3.A.1.11.6
total_1034765	9.B.71.1.1
total_10348548	3.A.1.11.2
total_1034960	9.A.4.1.2
total_10350395	3.A.1.7.1
total_10351537	3.A.1.102.1
total_10352516	3.D.1.5.1
total_10353214	3.A.1.2.7
total_10354170	9.B.42.1.1
total_10355970	3.A.1.1.10
total_10358918	3.A.1.122.2
total_10360371	3.A.1.1.32
total_10362565	2.A.73.1.1
total_10363504	3.A.1.4.1
total_10364938	9.A.34.2.1
total_10367701	3.A.1.3.5
total_10367702	3.A.1.3.6
total_10370332	3.A.1.16.3
total_10372588	3.A.1.16.1
total_10372767	3.A.1.5.17
total_10373442	3.A.1.11.1
total_10373444	3.A.1.11.1
total_10374493	3.A.15.3.1
total_10375213	3.A.1.5.2
total_10375415	3.A.1.5.18
total_10376818	9.A.34.2.1
total_10378698	9.A.41.1.1
total_10378722	2.A.1.6.3
total_10379718	3.A.1.11.3
total_10380043	9.A.34.2.1
total_10380044	9.A.34.2.1
total_10380779	3.A.1.2.1
total_10382506	3.A.6.2.1
total_1038251	2.A.56.1.1
total_10383070	2.A.56.1.1
total_10384317	2.A.23.1.3
total_10385712	9.B.31.1.1
total_10386009	2.A.80.1.1
total_10386440	3.D.8.1.1
total_10386833	3.A.1.2.1
total_103882	3.A.1.5.1
total_10388753	3.A.1.5.21
total_10391582	3.A.1.7.1
total_10392738	5.A.3.5.1
total_10393596	2.A.23.1.6
total_10394243	2.A.72.1.1
total_10394244	1.A.22.1.4
total_1039425	3.A.1.128.2
total_10394918	3.A.1.2.8
total_10395162	3.A.1.5.15
total_10396443	2.A.1.14.3
total_10396902	3.A.1.5.21
total_10396948	3.A.1.2.3
total_10397423	3.A.1.122.3
total_1039835	2.A.1.8.2
total_1040021	3.A.1.9.1
total_10403788	3.A.1.1.16
total_10404024	3.A.1.5.27
total_10404675	3.A.1.14.19
total_1040482	3.A.1.3.8
total_1040505	3.A.1.4.1
total_10407920	3.A.3.7.1
total_10408737	3.A.1.2.13
total_10409316	3.A.1.1.10
total_10411307	3.A.1.1.8
total_10411850	3.A.1.125.1
total_10412594	3.A.1.5.20
total_10413458	3.A.1.12.10
total_10414074	3.A.1.4.1
total_10414990	3.A.1.4.4
total_10415529	5.A.3.11.2
total_10416733	4.A.4.1.1
total_10416754	1.B.42.1.2
total_10417478	3.A.1.3.8
total_10417777	3.A.1.5.12
total_10421963	3.A.7.15.1
total_10423030	3.A.1.27.3
total_10429358	3.A.1.8.1
total_10429871	3.A.1.4.6
total_10430907	2.A.7.22.2
total_10430910	2.A.55.2.4
total_10431084	2.A.1.56.1
total_10431271	3.A.1.106.2
total_10433404	3.A.1.124.3
total_10433576	3.A.1.16.1
total_10435548	3.A.1.1.11
total_10437731	3.A.8.1.1
total_10437921	2.A.56.1.1
total_10439414	3.A.1.17.1
total_10440439	2.A.1.3.24
total_10440535	3.A.1.11.3
total_10441203	3.A.1.8.1
total_1044195	3.A.1.2.14
total_1044196	3.A.1.2.13
total_10443781	2.A.1.6.8
total_10447561	3.A.1.4.5
total_10448047	3.A.1.4.4
total_1044810	3.A.1.11.1
total_10448307	5.A.3.4.1
total_10448767	3.A.6.2.1
total_10448768	3.A.6.2.1
total_10448770	3.A.6.2.1
total_10448983	3.A.1.1.3
total_10450180	3.A.15.1.1
total_10451253	3.A.1.4.4
total_10451315	3.A.1.7.1
total_10451316	3.A.1.7.1
total_10451936	3.A.1.3.8
total_10452002	3.A.6.1.1
total_10452280	3.A.15.2.1
total_10452936	3.A.1.4.6
total_10453425	3.A.1.5.25
total_10455332	3.A.1.3.19
total_10458053	3.A.1.1.5
total_10459273	3.D.8.1.1
total_10459279	2.A.1.14.3
total_1046000	2.A.1.6.8
total_10460894	3.A.1.110.3
total_10462426	2.A.6.1.4
total_10465679	9.B.30.1.1
total_104666	2.A.56.1.2
total_10466687	3.A.1.5.15
total_10467458	5.A.3.2.1
total_10468743	3.A.1.6.1
total_10471313	2.A.6.2.12
total_10471533	3.A.1.27.4
total_10471537	3.A.1.27.3
total_10472199	3.A.1.125.1
total_10472728	2.A.1.7.6
total_1047399	3.A.7.15.1
total_10474219	3.A.1.11.6
total_10475071	1.B.14.1.12
total_10476684	3.A.1.7.1
total_10476796	3.A.1.122.2
total_10476810	5.A.3.7.1
total_10479530	1.A.2.2.2
total_10479719	3.A.15.3.1
total_10480761	3.A.1.5.20
total_10481139	3.A.1.12.10
total_10482811	3.A.1.5.2
total_10484207	2.A.1.35.1
total_1048479	3.A.1.27.4
total_104867	3.A.1.11.2
total_10487704	9.B.71.1.1
total_10487858	3.A.1.1.25
total_10489087	3.A.1.1.7
total_10489832	3.A.1.5.20
total_10492662	3.A.1.3.15
total_10492860	3.A.1.1.3
total_10495124	3.A.1.4.1
total_10496188	3.A.1.1.10
total_10500467	3.A.1.3.4
total_10500504	3.A.1.120.6
total_10502528	3.A.1.4.4
total_10503454	3.A.15.1.1
total_10506510	2.A.1.56.1
total_10507055	3.A.1.14.21
total_1050815	2.A.1.14.3
total_10513121	3.A.1.5.20
total_10515055	1.A.33.1.2
total_10516506	2.A.55.1.3
total_10517	2.A.1.6.8
total_10517691	2.A.56.1.1
total_1051910	3.A.1.27.3
total_1051987	3.A.1.125.2
total_10525126	9.A.34.2.1
total_10525443	1.B.4.2.1
total_10525910	3.A.1.5.11
total_10528355	3.A.1.2.11
total_10530670	3.A.1.2.7
total_10530671	3.A.1.2.7
total_10531614	3.A.1.16.2
total_10532692	3.A.1.11.2
total_10532693	3.A.1.11.2
total_10535873	3.A.1.3.8
total_10536566	3.A.1.15.1
total_10536659	3.A.1.1.22
total_1053667	3.A.1.3.15
total_10536754	3.A.1.7.1
total_10536942	3.A.1.1.8
total_10536943	3.A.1.1.8
total_10537203	3.A.1.5.1
total_1053767	3.A.1.27.3
total_10537680	2.A.1.8.2
total_10538554	3.A.1.103.1
total_10538908	3.A.1.11.6
total_10539260	9.B.20.1.1
total_10541089	3.D.1.5.1
total_10541106	3.A.1.5.19
total_10542427	3.A.1.106.2
total_10542975	3.A.1.8.1
total_10542976	3.A.1.8.1
total_1054366	9.A.34.1.1
total_10544166	3.A.1.4.1
total_10544867	2.A.1.1.55
total_10546401	3.A.1.107.1
total_10547147	3.A.1.5.22
total_10547513	3.A.6.3.1
total_10548447	3.A.1.1.19
total_10548582	5.A.3.1.1
total_10549010	3.A.1.4.6
total_10549395	9.B.14.2.2
total_10549396	3.A.1.107.1
total_10549864	2.A.6.2.17
total_10551266	3.A.1.16.3
total_10554056	3.A.1.27.5
total_10554192	3.A.15.1.1
total_10554307	1.A.8.12.1
total_10554783	3.A.1.5.11
total_1055560	3.A.1.4.1
total_10555745	3.A.1.9.2
total_10556367	3.A.1.16.3
total_10556595	3.A.1.1.21
total_1055764	3.A.1.5.12
total_10558253	3.A.1.132.4
total_10559665	1.A.30.2.2
total_10559892	2.A.56.1.6
total_10559978	9.A.34.1.1
total_10560670	3.A.1.4.6
total_10561355	3.A.1.12.3
total_10561614	3.A.1.8.2
total_10561615	3.A.1.10.3
total_1056245	3.A.1.4.1
total_10565700	3.A.1.11.1
total_10566159	3.A.1.3.19
total_10567313	3.A.1.2.7
total_10567833	3.A.1.7.1
total_10567834	3.A.1.7.1
total_1056964	2.A.72.1.1
total_10570613	3.A.1.5.20
total_10571105	3.A.1.107.1
total_10574475	5.A.3.3.2
total_10574950	2.A.1.35.1
total_10575648	1.C.82.1.1
total_10576386	3.A.1.1.3
total_10576523	3.A.15.2.1
total_10576958	9.A.34.2.1
total_10577373	3.A.1.3.19
total_10580605	3.A.1.132.1
total_10584494	3.A.1.107.1
total_10584542	3.A.15.2.1
total_10584586	9.A.18.1.2
total_1058543	3.A.1.27.4
total_10586323	1.B.42.1.2
total_10588059	9.B.14.2.2
total_1058881	3.A.1.4.1
total_1058918	2.A.72.1.1
total_10590600	3.A.1.5.18
total_10591657	3.A.6.2.1
total_1059234	3.A.1.17.2
total_10595508	2.A.1.7.6
total_10599301	3.A.1.5.20
total_10600117	3.A.1.110.9
total_10600373	2.A.1.3.24
total_106005	3.A.1.5.20
total_10601689	2.A.23.1.3
total_10605430	3.A.1.1.16
total_10607348	3.A.15.2.1
total_10607957	3.A.1.1.5
total_10610608	3.A.1.20.1
total_10611185	3.A.1.17.5
total_10612694	5.A.3.11.1
total_1061283	3.A.1.6.2
total_10613593	3.A.1.3.18
total_10613802	2.A.6.2.39
total_10615638	3.D.1.5.1
total_10620782	3.A.1.4.1
total_10622338	3.A.1.2.1
total_10632767	3.A.15.2.1
total_10633337	3.A.1.1.25
total_1063700	3.A.1.11.1
total_10637914	3.A.1.5.4
total_10637933	9.B.24.2.2
total_1063864	3.A.5.1.1
total_10640900	9.B.34.1.1
total_10641084	3.A.1.4.1
total_10641384	3.A.1.126.1
total_10641632	2.A.14.1.2
total_10641922	3.A.1.27.4
total_10644934	3.A.1.5.11
total_10646474	3.A.1.27.1
total_10647212	3.A.1.11.2
total_10647213	3.A.1.11.2
total_10647214	3.A.1.11.2
total_10647215	3.A.1.11.2
total_10647902	3.A.1.3.2
total_10649587	3.A.1.131.1
total_10649728	2.A.1.6.7
total_10650434	3.A.1.6.1
total_1065051	3.A.1.5.15
total_10650838	3.A.1.103.1
total_1065178	3.A.1.114.1
total_10651836	3.A.1.125.1
total_10652960	3.A.1.1.8
total_10653522	3.A.1.1.23
total_1065417	2.A.56.1.1
total_10655492	3.A.1.5.27
total_10655612	1.B.42.1.2
total_10656306	3.A.1.2.1
total_10659681	3.A.1.27.4
total_1065970	3.A.1.4.6
total_10659890	3.A.1.3.8
total_10662333	3.A.1.6.1
total_10664489	3.A.1.4.5
total_10664591	3.A.1.1.22
total_10666419	2.A.6.2.22
total_10668107	9.B.14.2.2
total_10668907	9.A.58.2.4
total_10670649	3.A.1.7.1
total_10671387	3.D.4.5.1
total_10671558	3.A.1.5.11
total_10671559	3.A.1.5.11
total_1067226	3.A.1.3.8
total_10672942	3.A.1.3.4
total_10673134	3.A.1.1.3
total_10674233	2.A.1.15.9
total_10676297	2.A.80.1.1
total_10676818	3.A.1.1.3
total_10676820	3.A.1.1.3
total_10676821	3.A.1.1.3
total_1068080	9.B.35.2.1
total_10681176	3.A.1.7.1
total_10683612	2.A.59.1.3
total_10684492	3.A.1.122.8
total_10686866	9.A.34.2.1
total_10686986	3.A.1.20.1
total_10689247	3.A.1.125.1
total_10689535	3.A.7.4.1
total_10689778	9.A.41.1.1
total_1069006	3.A.1.9.1
total_10690218	3.A.1.3.8
total_10690219	3.A.1.3.8
total_10690220	3.A.1.3.8
total_10690221	3.A.1.3.8
total_10690612	3.A.1.1.32
total_10693164	2.A.6.2.39
total_10693165	2.A.6.2.39
total_10696406	3.A.1.27.2
total_10696713	3.A.1.8.1
total_10697462	3.A.1.122.7
total_1069757	1.A.30.1.1
total_10701580	3.A.1.102.1
total_10707043	3.A.1.24.4
total_10708188	3.A.1.4.5
total_10709107	3.A.15.2.1
total_10710169	3.A.1.7.2
total_10711185	3.A.1.3.10
total_10711849	2.A.80.1.1
total_10715438	3.A.1.5.24
total_10715726	3.A.1.12.3
total_10716732	2.A.56.3.1
total_1071780	3.A.1.4.2
total_10719241	3.A.1.2.13
total_1072105	3.A.1.106.2
total_10722922	3.A.1.5.12
total_10723663	3.A.15.2.1
total_10725151	3.A.1.14.19
total_10725152	3.A.1.14.4
total_10725543	2.A.1.14.7
total_10726842	2.A.7.1.4
total_10726864	3.A.1.120.5
total_10728863	3.A.1.3.19
total_10730920	3.A.1.11.1
total_1073206	3.A.15.2.1
total_10733839	3.A.1.7.1
total_10734814	2.A.7.1.4
total_10735244	3.A.1.15.7
total_10735999	1.B.42.1.2
total_10739530	3.A.1.120.6
total_10739662	3.D.4.5.1
total_10741507	2.A.6.2.39
total_10741719	3.A.1.27.1
total_10742243	3.A.1.5.27
total_1074248	3.A.1.11.2
total_10742550	3.A.7.15.1
total_10743833	2.A.1.59.2
total_10746200	3.A.1.1.8
total_1074714	3.A.1.125.1
total_10749404	3.A.11.2.3
total_10749430	3.A.1.132.1
total_10749502	3.A.1.5.20
total_10750285	3.A.1.110.1
total_10752150	3.A.1.5.19
total_10752555	3.A.1.7.1
total_10753920	3.A.1.11.2
total_1075499	9.A.34.2.1
total_1075500	9.A.34.2.1
total_10763020	1.B.33.1.4
total_10763493	9.A.10.2.2
total_1076660	3.A.1.11.1
total_10767786	3.A.15.2.1
total_10767865	2.A.40.1.3
total_10771401	1.A.33.1.2
total_10771983	3.A.1.16.1
total_1077276	3.A.1.15.10
total_10774165	3.A.1.4.5
total_10774166	3.A.1.4.1
total_10775199	3.A.1.9.1
total_10775314	3.A.1.1.7
total_10775913	3.A.1.1.29
total_10775948	3.A.1.5.2
total_10776483	3.A.1.6.1
total_10776642	3.A.6.2.1
total_10777264	3.A.1.6.3
total_10777919	3.A.1.2.6
total_10778552	3.A.1.1.12
total_10780085	9.B.24.2.2
total_10781506	3.A.1.210.9
total_10781538	3.A.1.3.10
total_10782214	3.A.6.2.1
total_10782572	3.A.1.6.3
total_1078372	3.A.1.2.4
total_10784031	3.A.1.15.8
total_10784032	3.A.1.15.8
total_10784033	3.A.1.15.8
total_10784830	8.A.8.1.1
total_10786958	2.A.23.1.1
total_10789158	2.A.7.22.2
total_10789845	3.A.1.24.1
total_10790133	3.A.1.107.1
total_10791731	3.A.1.17.6
total_1079211	3.A.1.11.2
total_10793633	2.A.1.6.3
total_10793874	3.A.1.105.4
total_10794479	3.A.1.3.8
total_10794675	3.A.1.17.6
total_10797354	3.A.1.101.1
total_10797858	3.A.7.15.1
total_10799661	3.A.1.103.1
total_10800109	3.A.15.2.1
total_10800903	3.A.1.2.12
total_10803939	3.A.1.1.16
total_108044	3.A.1.1.4
total_108045	3.A.1.1.4
total_10806925	3.A.1.6.1
total_10806926	3.A.1.6.1
total_10806928	3.A.1.6.1
total_10807058	3.A.15.2.1
total_10807837	3.A.1.3.8
total_10808857	3.A.1.2.9
total_10809020	3.A.1.11.2
total_1080990	3.A.1.5.27
total_10811307	3.A.1.1.25
total_10811409	3.A.7.15.1
total_10813404	3.A.1.1.3
total_10814069	3.A.1.125.1
total_10814079	3.A.1.5.11
total_10814219	3.A.1.6.1
total_10819691	3.A.14.1.1
total_10820438	3.A.1.7.1
total_1082143	3.A.1.4.3
total_10821652	1.A.11.2.7
total_10822036	3.A.1.8.2
total_10822183	3.A.15.2.1
total_10823062	5.A.3.4.1
total_10823921	1.A.8.3.1
total_10824343	3.A.1.15.10
total_10828496	3.A.6.1.1
total_10828617	9.A.34.2.1
total_10829497	3.A.1.1.3
total_1083146	3.A.1.5.20
total_10831789	2.A.3.14.1
total_10834678	3.A.1.4.5
total_10836049	3.A.1.114.1
total_10838365	1.A.30.1.2
total_10839379	3.A.6.2.1
total_10841944	3.A.1.4.1
total_10843565	9.B.20.2.1
total_10846356	9.A.41.1.1
total_10847431	3.A.1.3.8
total_10847456	2.A.1.6.2
total_1084787	3.A.1.27.5
total_10847930	3.A.1.15.7
total_1085162	3.A.1.6.7
total_1085163	3.A.1.6.1
total_10851885	3.A.1.5.20
total_10852541	1.A.11.1.4
total_10853842	3.A.15.2.1
total_10853898	3.A.1.5.13
total_10854009	3.A.15.2.1
total_10855184	3.A.1.1.5
total_10855186	3.A.1.1.5
total_10855476	9.A.34.2.1
total_10856777	3.A.1.11.1
total_10857589	3.A.15.2.1
total_10859185	1.B.42.1.2
total_10859588	3.A.3.5.30
total_10860715	3.A.1.122.2
total_1086448	3.A.1.105.3
total_10864961	2.A.1.6.5
total_10866180	3.A.1.11.2
total_10866182	2.A.72.1.1
total_10868043	3.A.1.4.6
total_10868679	3.A.1.6.1
total_10868911	3.A.1.5.20
total_10869276	3.A.1.7.1
total_10869277	3.A.1.7.1
total_10869830	3.A.1.10.2
total_10871086	3.A.1.7.1
total_10871361	3.A.1.6.1
total_10871362	3.A.1.6.1
total_108718	3.A.1.1.16
total_10872623	3.A.1.5.21
total_10872743	1.B.42.1.2
total_10874957	1.B.42.1.2
total_1087572	3.A.1.103.1
total_10876010	3.A.1.120.2
total_10877361	3.A.1.3.9
total_10878465	3.A.15.1.1
total_10879517	3.A.3.7.1
total_10879518	3.A.3.7.1
total_10880655	3.A.1.1.16
total_10884407	3.A.1.20.1
total_10885851	2.A.36.6.5
total_10885855	3.A.1.8.1
total_10885856	3.A.1.8.1
total_10886387	3.A.1.11.2
total_10890034	2.A.56.1.1
total_10890157	3.A.1.2.7
total_10890613	3.A.1.1.16
total_10890777	3.A.1.3.10
total_10891348	3.A.1.4.1
total_10891350	3.A.1.4.1
total_10892982	2.A.33.1.2
total_10897650	3.A.1.11.1
total_10898155	3.A.5.1.1
total_10898337	3.A.1.27.3
total_10898355	3.A.1.5.20
total_10898362	3.A.1.105.3
total_10898588	1.A.8.3.1
total_10903249	1.A.11.2.5
total_10904092	3.A.5.2.1
total_10906421	3.A.1.103.1
total_10908437	3.A.1.17.1
total_10912190	3.A.1.17.1
total_10920207	3.A.1.3.8
total_10921054	3.A.15.2.1
total_10922379	3.A.1.5.11
total_10922677	3.A.1.1.22
total_10922952	2.A.72.1.1
total_10924848	3.A.1.5.20
total_10925005	3.A.1.7.1
total_10927247	3.A.1.7.1
total_10927249	3.A.1.7.1
