Query_id	Ko_id
total_10327546	K07493
total_10328034	K01424
total_10329171	K02038
total_10329904	K00356
total_10330637	K02528
total_10330750	K00760
total_10332682	K02109
total_10333046	K02108
total_10333048	K02109
total_10335210	K00169
total_10336009	K01424
total_10342549	K01007
total_10343565	K02304
total_10344920	K02614
total_10344922	K00803
total_10345637	K02053
total_10345638	K02054
total_10345957	K01682
total_10346956	K02018
total_10347764	K02501
total_10349349	K00027
total_10351316	K01596
total_10351439	K10838
total_10352592	K01043
total_10352593	K05837
total_10352715	K03886
total_1036089	K02446
total_10362774	K09973
total_10362781	K03060
total_10363596	K00265
total_10363797	K03887
total_1036403	K08591
total_10364083	K01637
total_10365229	K01661
total_10366742	K00262
total_10368206	K02115
total_10368207	K06024
total_10368983	K01792
total_10369336	K02274
total_10369749	K00343
total_10381472	K12251
total_10381871	K03522
total_10381988	K01457
total_10382764	K00404
total_103828	K01624
total_10383980	K00265
total_10384099	K15371
total_10384700	K00406
total_1038586	K01222
total_10386245	K01652
total_10389719	K01486
total_10390624	K01507
total_10390954	K02299
total_10392841	K07042
total_10395039	K00872
total_10395147	K11263
total_10395277	K00600
total_1039832	K00362
total_10398354	K07729
total_10399803	K01468
total_10401653	K06027
total_10402624	K01466
total_10402798	K00334
total_10404666	K15634
total_10405743	K03705
total_10405750	K00330
total_10406178	K15495
total_10406503	K02058
total_10408587	K08684
total_10409174	K00242
total_10410406	K02112
total_10410407	K02114
total_1041112	K02323
total_10411324	K00265
total_10411365	K15371
total_10412710	K03407
total_10412819	K00517
total_10413164	K00927
total_104146	K02276
total_1041629	K00111
total_10416897	K02276
total_1042008	K00412
total_1042348	K04561
total_10423792	K03955
total_10424197	K11085
total_10425197	K02276
total_10426437	K02113
total_10426550	K03313
total_1042786	K00262
total_10428867	K00426
total_10430735	K01239
total_1043106	K02259
total_10434795	K03179
total_10441333	K01035
total_10441954	K02008
total_1044199	K02340
total_1044202	K03501
total_10442043	K00364
total_10442091	K01772
total_10442493	K01884
total_1044286	K03060
total_10443598	K00053
total_1044620	K01420
total_10447006	K01810
total_10447562	K00356
total_10447744	K00331
total_1045036	K10243
total_10450893	K13641
total_10451813	K06134
total_10451891	K05973
total_10452659	K00937
total_10454689	K02834
total_10455683	K01451
total_10455811	K03887
total_104573	K00368
total_10463425	K02428
total_10464150	K00290
total_10464863	K02959
total_10464884	K00338
total_10465017	K02194
total_10465804	K01507
total_10465996	K03699
total_10465997	K00334
total_10467087	K02323
total_1046837	K02112
total_10468373	K07735
total_10471576	K01424
total_10471677	K07729
total_10474207	K01872
total_10474488	K02049
total_10475713	K05581
total_10480006	K00596
total_10481567	K00172
total_1048788	K02405
total_10488602	K01777
total_10488748	K05772
total_10488815	K03481
total_1048996	K02734
total_10493202	K00343
total_10493282	K07250
total_10495086	K00366
total_10495421	K02276
total_10497958	K02299
total_10501069	K00338
total_10502009	K01493
total_10502029	K01505
total_10502035	K05592
total_10502055	K03719
total_10502063	K01507
total_10502067	K08152
total_10502087	K03405
total_10502796	K03501
total_1050357	K01673
total_1050481	K01641
total_10504943	K02319
total_10505139	K08680
total_10508089	K00343
total_10513732	K00338
total_10514060	K00411
total_10517672	K05982
total_10518885	K00334
total_10519201	K07119
total_10520009	K14440
total_10520581	K13481
total_10521697	K01137
total_10521698	K11263
total_10522269	K02266
total_10523081	K14449
total_10523306	K10738
total_10529355	K10704
total_10529439	K00330
total_10530091	K03782
total_10530955	K14267
total_10532826	K01007
total_10537300	K00995
total_10537859	K00140
total_10539661	K13810
total_10540204	K00643
total_10544024	K00937
total_10552082	K00926
total_10554480	K02276
total_10554708	K06863
total_10556818	K07735
total_10558094	K01070
total_10564149	K01814
total_10564541	K02121
total_10566612	K02112
total_10567681	K15371
total_10569977	K02304
total_10572089	K02048
total_10573090	K07246
total_10573351	K03521
total_10575542	K07071
total_10576536	K02057
total_1057830	K03570
total_10579761	K00114
total_10580210	K00412
total_1058365	K14447
total_10588347	K08151
total_10589511	K00264
total_10591117	K03885
total_10592849	K01744
total_10592852	K00155
total_1059424	K03705
total_1059692	K01849
total_10599076	K01241
total_10599276	K06177
total_10599569	K03891
total_10599786	K00338
total_10601739	K07979
total_10604742	K02276
total_10608752	K00330
total_10608754	K00332
total_1061053	K00265
total_10612332	K02189
total_10612334	K06042
total_10614274	K00265
total_10614786	K03719
total_1061545	K15408
total_10615926	K01501
total_1061606	K10947
total_10617073	K01507
total_10619657	K03781
total_1062370	K09888
total_10627110	K00627
total_10629690	K01284
total_10632906	K00109
total_10634412	K07042
total_10634686	K01428
total_1063549	K00754
total_10637944	K03417
total_10638848	K02480
total_10639156	K04015
total_10639464	K01759
total_1064222	K11438
total_10644174	K01734
total_10645306	K00854
total_10646199	K15986
total_10646617	K07506
total_10646625	K01420
total_10646805	K03891
total_1064706	K01507
total_10647839	K15635
total_10650138	K01653
total_10651860	K07497
total_10652147	K02108
total_10652314	K00635
total_10654385	K15232
total_10655380	K07450
total_10655991	K03417
total_10656608	K00366
total_10657931	K03070
total_10658586	K00314
total_1065971	K02112
total_10662089	K00330
total_10664739	K01075
total_10664741	K08097
total_10664774	K02342
total_10664791	K05799
total_10664828	K15357
total_10664842	K02508
total_10664852	K02854
total_10664861	K02429
total_10664929	K05973
total_10666196	K01496
total_10667183	K02298
total_10668146	K00404
total_10668320	K00940
total_10668321	K06287
total_10668324	K03570
total_10668325	K03571
total_10668326	K05515
total_1066892	K02343
total_1067144	K02623
total_10681711	K07552
total_10684199	K02114
total_10684886	K06893
total_10687618	K02299
total_10688027	K02276
total_10688312	K02054
total_10691191	K05837
total_10692210	K00019
total_10693848	K00822
total_10694554	K09012
total_1069710	K03417
total_10698089	K00850
total_10700471	K07736
total_1070097	K02277
total_10704448	K13483
total_1070568	K03955
total_10706140	K00265
total_10706598	K00375
total_10709044	K03296
total_10709439	K02335
total_10713067	K15580
total_10714814	K02341
total_1071692	K00365
total_10716969	K02081
total_10717109	K02274
total_10717912	K02956
total_10718225	K13788
total_10721551	K00382
total_1072235	K01867
total_10722801	K03585
total_10723435	K07496
total_1072433	K02044
total_10724541	K00872
total_10726025	K09140
total_10728988	K01593
total_10731247	K05844
total_10731759	K01507
total_10732934	K02259
total_10733198	K00338
total_10733267	K00845
total_10734199	K02297
total_10734537	K02194
total_10735914	K01507
total_10737722	K00023
total_10739401	K00634
total_10742542	K00627
total_10743078	K11921
total_10744737	K02014
total_10745983	K01953
total_10746729	K14682
total_10748274	K00016
total_10751960	K00405
total_1075271	K00413
total_1075831	K01596
total_10760018	K03041
total_10760270	K01682
total_10761051	K02548
total_1076126	K00886
total_10763863	K14534
total_10764102	K08973
total_10765173	K02054
total_10766448	K02428
total_10768755	K01580
total_10769129	K02117
total_10769553	K01905
total_10770660	K05557
total_10770663	K15546
total_10770664	K06900
total_10770667	K07075
total_10770672	K05525
total_1077174	K01884
total_10772160	K01966
total_10773727	K03886
total_10775367	K04486
total_10775585	K07130
total_10775822	K00339
total_10775886	K00362
total_1077741	K02907
total_10779946	K01424
total_1078336	K03817
total_10785913	K14657
total_10785917	K01759
total_10788668	K03761
total_10792900	K02112
total_10792987	K00527
total_10793496	K05847
total_10793778	K09017
total_10793783	K08169
total_10796018	K00140
total_10797213	K00170
total_10799079	K00338
total_10800304	K02484
total_10801390	K02874
total_10802906	K00406
total_10804007	K03145
total_10806130	K15371
total_10806718	K02299
total_10807582	K00985
total_10810311	K10553
total_10811095	K09969
total_10811441	K00338
total_10812501	K03417
total_1081419	K00265
total_10817220	K00161
total_10821302	K07785
total_10827875	K00334
total_10829425	K00023
total_10829759	K03784
total_10834223	K02276
total_10835900	K01552
total_10836557	K01623
total_10838281	K01571
total_10838419	K03041
total_10839859	K03088
total_10840912	K00406
total_10843092	K01623
total_10845632	K03060
total_10845647	K00170
total_10845667	K01120
total_10846734	K13643
total_10847406	K00413
total_10847407	K00412
total_1084893	K01119
total_1085003	K00412
total_10850812	K08172
total_10853612	K02112
total_10854138	K02612
total_10854165	K11784
total_10855471	K02548
total_10855637	K07494
total_10858529	K02083
total_10866254	K00413
total_10866838	K03070
total_10873177	K03566
total_10875286	K02566
total_10875287	K00334
total_10875628	K03389
total_10876951	K01478
total_10877062	K02194
total_10877861	K14446
total_10880236	K01479
total_1088123	K02996
total_10881309	K00652
total_10883398	K08289
total_1088490	K07777
total_10885015	K15255
total_10886151	K02874
total_10886558	K00338
total_10886562	K00330
total_1088745	K02108
total_1088772	K00330
total_10889876	K03091
total_10890441	K01951
total_10892112	K08217
total_10892199	K01880
total_10892204	K01119
total_10893159	K10917
total_10897365	K10534
total_10900298	K01785
total_10900594	K01744
total_10900603	K02109
total_10901247	K15916
total_10902233	K02548
total_10904474	K05800
total_10906468	K07738
total_1090854	K01488
total_1090966	K00050
total_10909991	K00603
total_10914305	K07238
total_10916298	K04749
total_10916443	K01174
total_10916444	K01733
total_1091765	K03521
total_10917721	K09698
total_10919003	K01744
total_10919345	K06979
total_1092422	K00043
total_10924368	K02276
total_1092517	K09694
total_10925645	K09781
total_10925936	K03186
total_10926610	K11175
total_10930166	K02109
total_10930277	K05586
total_10930945	K14063
total_1093170	K15835
total_10932152	K15973
total_10934732	K07736
total_10936052	K09808
total_10937884	K02569
total_10939344	K06863
total_1094107	K02427
total_10941654	K02339
total_10941837	K02341
total_10942965	K00265
total_10944561	K02867
total_10944985	K11072
total_10946601	K01623
total_10948829	K03417
total_10950440	K02907
total_1095159	K04015
total_10953147	K01719
total_10953613	K01484
total_10953622	K00368
total_10954279	K05603
total_10956215	K00334
total_10956338	K03535
total_10959585	K02200
total_10959769	K00362
total_10964510	K00411
total_10964725	K00122
total_10965756	K00127
total_10966554	K02902
total_10968656	K10544
total_10969288	K03777
total_1097084	K03889
total_1097086	K03891
total_10972177	K02274
total_10972641	K02343
total_1097289	K00162
total_10976938	K01247
total_10977288	K01596
total_10977746	K08684
total_10977828	K10441
total_10978121	K01589
total_10978386	K02274
total_1098110	K02046
total_10982536	K01470
total_10983526	K03589
total_10983615	K01424
total_10983874	K01637
total_1098522	K01420
total_10985394	K01623
total_10986734	K02274
total_10987300	K00314
total_10988470	K00050
total_10993207	K02551
total_10993846	K00467
total_10994678	K02948
total_10996580	K06880
total_11000688	K00605
total_11001433	K01507
total_1100174	K09888
total_11004095	K15546
total_11004470	K00942
total_11006374	K15371
total_11007045	K10733
total_11007048	K00927
total_11007936	K01151
total_11009602	K14446
total_11011788	K02110
total_11012171	K03787
total_1101778	K05928
total_110179	K02112
total_11018452	K00425
total_11020516	K01463
total_11020897	K02301
total_11020990	K00338
total_11022839	K10907
total_1102335	K02902
total_1102350	K01518
total_11023647	K00265
total_11024649	K02342
total_11025004	K00338
total_11026012	K14449
total_11026248	K03558
total_11028301	K01034
total_11028344	K00540
total_11028345	K05557
total_11029116	K03060
total_11029364	K14449
total_11029663	K03738
total_11031259	K02112
total_11034537	K02276
total_11034622	K00290
total_11035111	K03794
total_11036764	K01479
total_11037063	K05827
total_11038278	K01185
total_11038960	K03501
total_11039938	K03501
total_1104157	K00265
total_11042082	K02274
total_1104841	K01493
total_11049478	K12483
total_1104972	K00425
total_11050789	K09882
total_1105103	K00926
total_11053195	K09761
total_11054359	K01929
total_11055596	K00013
total_11058041	K11005
total_11059341	K02274
total_11059669	K00500
total_11060531	K00368
total_11061055	K00927
total_11061248	K08680
total_11062089	K00022
total_11062229	K02259
total_11062232	K00540
total_11062779	K01525
total_11063313	K00605
total_11063558	K02299
total_1106393	K00759
total_11065832	K02115
total_1106688	K09812
total_11067531	K05020
total_11067809	K01792
total_11068205	K02109
total_11068456	K07738
total_11071714	K00405
total_11071721	K01505
total_11072196	K02276
total_11073424	K03886
total_11073833	K13798
total_11074541	K00372
total_11075019	K00265
total_110760	K00023
total_11078268	K02703
total_11083183	K10563
total_11085827	K00023
total_11087227	K07565
total_11087773	K14761
total_11088488	K15599
total_11088987	K03795
total_11090933	K00329
total_11093957	K02058
total_11094865	K03955
total_11095252	K13642
total_11097482	K00338
total_1109848	K03522
total_11099541	K01905
total_11102730	K00426
total_11103424	K00228
total_11106243	K05896
total_11106662	K02112
total_11107069	K02040
total_11107495	K00822
total_11107692	K01895
total_11108708	K00362
total_11113846	K06042
total_1111511	K08691
total_1111869	K07093
total_11119975	K00265
total_11120601	K04073
total_11120915	K01596
total_11123405	K02110
total_11124841	K01905
total_1112614	K01501
total_11126793	K00123
total_11128008	K02109
total_11128466	K11072
total_11137086	K00170
total_11137150	K00261
total_11137152	K01455
total_1114192	K13798
total_11144096	K01623
total_1114432	K03547
total_11145012	K02936
total_11145931	K03719
total_11147668	K03719
total_1114793	K03787
total_11149807	K11473
total_11157627	K03328
total_11157633	K01183
total_11157635	K01953
total_11157638	K13018
total_11157647	K01518
total_11158995	K02778
total_11160271	K05814
total_11161248	K00605
total_11161654	K06978
total_11163871	K01624
total_11163881	K11755
total_11163924	K02108
total_1116751	K00338
total_11170880	K02548
total_11172750	K11472
total_11173692	K03570
total_11177965	K02276
total_1117833	K02277
total_11178671	K00042
total_111791	K02108
total_11180828	K02297
total_11181773	K08691
total_11181789	K02428
total_11183801	K05522
total_11187346	K02276
total_11190614	K03738
total_11191664	K01624
total_11193000	K05574
total_11195810	K09140
total_11196508	K03521
total_11200758	K05606
total_11201653	K00365
total_1120324	K00050
total_11207369	K02299
total_11207370	K02298
total_11208179	K03891
total_11210091	K09772
total_11213715	K01027
total_11213906	K00634
total_1121556	K02276
total_11217224	K15633
total_11217760	K00338
total_11218179	K01507
total_11219247	K00338
total_11219581	K00022
total_11221176	K02188
total_11221203	K03719
total_11223808	K00794
total_11224771	K04499
total_11225670	K11177
total_11227405	K00926
total_11229790	K01653
total_11229955	K01588
total_1123003	K03583
total_11230383	K15232
total_11230560	K02276
total_11231081	K00823
total_11231434	K01253
total_11233898	K01673
total_11236549	K01070
total_11237137	K05587
total_11239813	K00822
total_11241105	K14213
total_11241182	K05587
total_11241392	K13638
total_11244052	K01903
total_11244594	K00036
total_11244874	K11416
total_11248178	K02428
total_11249222	K01623
total_11254327	K02109
total_11254328	K02110
total_11254329	K02108
total_11254337	K03761
total_11254365	K01424
total_11254374	K02259
total_11254394	K01488
total_11254412	K02276
total_11254413	K02276
total_11254415	K02301
total_11254416	K02274
total_1125540	K01778
total_11256598	K03889
total_11256600	K03891
total_11256758	K15634
total_11256760	K00969
total_1125951	K02883
total_11259993	K11783
total_11265401	K00122
total_11266325	K00425
total_11267369	K00124
total_11268570	K01424
total_11268841	K10005
total_11271432	K08684
total_11272730	K07130
total_11272808	K02109
total_11272809	K02113
total_11274900	K05346
total_11275141	K01745
total_11276016	K00370
total_11276379	K01847
total_11276775	K00823
total_11278554	K12234
total_11278880	K14157
total_11284890	K01673
total_11284991	K00343
total_11284992	K00342
total_11286348	K00330
total_1129133	K03522
total_11292072	K06221
total_11295180	K01529
total_11295823	K01424
total_11298390	K07042
total_11298646	K02274
total_11299070	K01744
total_11308915	K01673
total_11310388	K06134
total_1131132	K00368
total_1131186	K00520
total_1131193	K06941
total_11314336	K00362
total_11315979	K01433
total_11315982	K09163
total_11315985	K09819
total_11316813	K10188
total_11317627	K07284
total_11318375	K07130
total_1131931	K13634
total_11319514	K02217
total_11322040	K00826
total_11322329	K00002
total_11323132	K01926
total_11325505	K02301
total_11325689	K00022
total_11327381	K02301
total_11327395	K01507
total_11329969	K02529
total_11330096	K13935
total_11331411	K03891
total_11332992	K11472
total_11333501	K01778
total_11334534	K00266
total_11335405	K01637
total_11336410	K02298
total_11339774	K01848
total_11340154	K01424
total_11340591	K00673
total_11341323	K10704
total_11342875	K02110
total_11342876	K02108
total_11343826	K00266
total_11346665	K03547
total_11346666	K03546
total_11347980	K06204
total_11348795	K03521
total_11352211	K00426
total_1135300	K02112
total_113535	K01477
total_11354268	K03116
total_1135650	K00411
total_11358061	K01479
total_11359583	K00936
total_11363189	K14446
total_11370306	K04072
total_11370606	K01113
total_11371259	K00329
total_11373771	K00425
total_11375709	K02112
total_11380063	K00330
total_1138015	K02338
total_11382188	K00332
total_11382190	K00330
total_11383158	K01434
total_11383165	K12035
total_11383166	K00100
total_11383168	K06133
total_11385864	K12251
total_1139163	K02224
total_11392501	K00170
total_11393030	K02520
total_11393735	K09710
total_1139634	K02123
total_11396511	K00266
total_11397473	K00375
total_11397664	K02108
total_11398387	K15371
total_11399384	K01848
total_11400573	K01926
total_11400721	K00426
total_11403168	K13990
total_11404661	K00266
total_11404880	K02040
total_1140991	K01698
total_1140992	K13542
total_11411314	K03705
total_1141153	K02194
total_11414043	K00265
total_11414267	K03535
total_11415368	K09698
total_11415383	K02877
total_11419210	K02112
total_11419675	K00425
total_11419726	K00459
total_1141994	K00131
total_11420734	K05973
total_11422691	K00627
total_11424276	K06178
total_11433493	K07738
total_11434802	K01406
total_11435242	K01792
total_11437605	K03784
total_11438404	K00002
total_11438543	K02217
total_11439375	K00426
total_11439376	K00425
total_11440003	K01673
total_11443515	K00930
total_1144383	K10918
total_11444885	K03501
total_11445668	K03889
total_11448025	K08301
total_11448043	K00485
total_11448100	K01424
total_11448921	K05785
total_11449717	K15633
total_11449734	K00818
total_11449831	K01848
total_11450035	K02519
total_11451267	K00127
total_11452183	K01424
total_11452312	K02493
total_11452820	K01607
total_1145479	K00172
total_11454928	K00412
total_11456470	K06167
total_1145732	K00873
total_11457936	K02834
total_11458736	K15371
total_11459399	K01505
total_11460075	K02109
total_11462281	K03885
total_11463494	K06221
total_1146488	K02276
total_11467484	K06861
total_11468789	K02067
total_11468797	K01039
total_11471243	K02319
total_11472876	K01653
total_11474155	K11293
total_11476680	K05606
total_11478256	K03303
total_11478257	K00104
total_11478882	K02109
total_11479019	K01953
total_11479033	K01574
total_11479620	K02114
total_11480056	K16013
total_11480105	K03885
total_11480882	K09607
total_1148207	K01758
total_11482415	K03974
total_11482950	K15371
total_11484392	K03501
total_11487757	K01673
total_1148814	K10027
total_114891	K01596
total_11489325	K00406
total_11489981	K02108
total_11490654	K05837
total_11490662	K04561
total_11495121	K02048
total_11496608	K02601
total_11499213	K03787
total_11499356	K05903
total_11500238	K05836
total_11502261	K06400
total_11503674	K01518
total_11507698	K03575
total_11507799	K00995
total_11508780	K00265
total_11509682	K03521
total_11516423	K00412
total_1151724	K01589
total_1151768	K02823
total_1151769	K00226
total_11517837	K01455
total_1151862	K01507
total_11523339	K00839
total_11523732	K00042
total_11525804	K01777
total_11526206	K09136
total_11530698	K09823
total_1153279	K00364
total_11533485	K13810
total_1153406	K03501
total_11539028	K00134
total_11539186	K03100
total_11539529	K01420
total_11540055	K03498
total_11540305	K00411
total_11540646	K00823
total_11542190	K03234
total_11543065	K02112
total_11551946	K03891
total_11552718	K01653
total_11552848	K01610
total_11555340	K07096
total_1155600	K01744
total_11561089	K15634
total_11565338	K09882
total_11565843	K03891
total_11566382	K01792
total_11567277	K02892
total_11567329	K00926
total_11567541	K05557
total_1156779	K00850
total_11569626	K09888
total_11571171	K12506
total_11578066	K00331
total_11579986	K02293
total_11582503	K00822
total_11585891	K00162
total_11589501	K07220
total_11590631	K00341
total_11592560	K01596
total_11592979	K02528
total_11593151	K15223
total_11593463	K00467
total_11594327	K03887
total_11595361	K00171
total_11596470	K02259
total_1160049	K07488
total_11600729	K09759
total_11602556	K00329
total_11602777	K05603
total_11603149	K02037
total_11605675	K00340
total_11607025	K01505
total_1160974	K01589
total_11616319	K12368
total_11616747	K02112
total_11618102	K10233
total_11620090	K00413
total_1162089	K00859
total_11621243	K07735
total_11622355	K00759
total_1162413	K02428
total_11626453	K01744
total_11629437	K01507
total_11629692	K09816
total_11633136	K07130
total_11633975	K01496
total_11634434	K13688
total_11637623	K02112
total_11639867	K00567
total_1164165	K00759
total_11642584	K01682
total_11644065	K00411
total_11647551	K08178
total_11649638	K03234
total_11652031	K02067
total_11653079	K03629
total_11654709	K00404
total_11655318	K00297
total_11655339	K15371
total_11657362	K02299
total_11658397	K13483
total_11658872	K05884
total_11658880	K01241
total_11660737	K01484
total_11661746	K01678
total_11663278	K00362
total_1166332	K00930
total_11663917	K00926
total_11664633	K00330
total_11670682	K00338
total_11671826	K13633
total_11672582	K00544
total_1167868	K07735
total_11679061	K01507
total_11683063	K01624
total_1168325	K02895
total_11684397	K07116
total_11685969	K14449
total_11686564	K00412
total_11688003	K06863
total_11689606	K00333
total_11690079	K05846
total_11690288	K03519
total_11690332	K02058
total_11690884	K01501
total_11694242	K00412
total_11694388	K07738
total_11696025	K00603
total_11697258	K01484
total_11697939	K13542
total_11697942	K00050
total_1169964	K00405
total_11700103	K07130
total_11701698	K03743
total_11702457	K15408
total_11702848	K01470
total_11709174	K01424
total_1170923	K03885
total_1170924	K01835
total_11709330	K01928
total_11709815	K01682
total_11713960	K01633
total_11715974	K02109
total_11716513	K00605
total_11716753	K00314
total_11717428	K00406
total_1171854	K01507
total_11718981	K01424
total_11722748	K01744
total_11722932	K03885
total_11724397	K11942
total_1172540	K00140
total_11728364	K13745
total_11729021	K15633
total_11729622	K01466
total_11736272	K00262
total_11738214	K02195
total_11740702	K01803
total_1174133	K01785
total_11741468	K03609
total_11744716	K00224
total_11748222	K01507
total_11748469	K02109
total_11750137	K01468
total_1175102	K03885
total_11751109	K09811
total_11751608	K08680
total_11752459	K00231
total_11752826	K02110
total_11753032	K01810
total_11753376	K00411
total_11754543	K03118
total_1175482	K01507
total_11755373	K03521
total_11756892	K03521
total_11758906	K03918
total_1176031	K00002
total_11761146	K00338
total_11763155	K00266
total_11766810	K03891
total_11766927	K02109
total_11769097	K00375
total_1177087	K02340
total_11778802	K00290
total_1178170	K01420
total_11781835	K07091
total_11781841	K03522
total_11782374	K00284
total_11782465	K14449
total_11782927	K01476
total_11784166	K14259
total_11786604	K01753
total_11787672	K07250
total_11788546	K01782
total_11789948	K14267
total_11790534	K01782
total_11791679	K01507
total_1179643	K00368
total_11798713	K15232
total_1180000	K05520
total_11800576	K01067
total_11801086	K02301
total_11805254	K00798
total_11806819	K08684
total_11809049	K01835
total_11813714	K02902
total_11814854	K01778
total_11816463	K08691
total_11816554	K14447
total_1181878	K00172
total_11819506	K02303
total_11820220	K00338
total_11821222	K00368
total_11829357	K01487
total_11830336	K00338
total_11831651	K01744
total_11832313	K00146
total_11834162	K00257
total_11837334	K00109
total_11837624	K05827
total_11839717	K00674
total_11840797	K02154
total_11849249	K00332
total_11854802	K03891
total_11855026	K06901
total_11856015	K05578
total_11856016	K00340
total_11856400	K01578
total_11857737	K01753
total_11859499	K03417
total_11860192	K00338
total_1186066	K01574
total_11860834	K06024
total_11861152	K01278
total_1186141	K00265
total_118651	K00338
total_11865387	K05587
total_118657	K03521
total_11866201	K11755
total_11866869	K03711
total_11869061	K03765
total_11869548	K03890
total_11870235	K15510
total_11871002	K03543
total_11871988	K00339
total_11872878	K01928
total_11874365	K08289
total_11874582	K01091
