Query_id	tax
total_10199130	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1019941	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10201521	k__Bacteria
total_10202031	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
total_10206014	k__Bacteria
total_10206015	k__Bacteria;p__Actinobacteria
total_10208524	k__Bacteria
total_10209170	k__Bacteria;p__Proteobacteria
total_10211303	Unclassified
total_10213087	k__Bacteria;p__Proteobacteria
total_10221910	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10222187	k__Bacteria
total_10222200	k__Bacteria;p__Bacteroidetes
total_10222215	k__Bacteria
total_10222223	k__Bacteria
total_10222233	k__Bacteria;p__Bacteroidetes
total_10222239	k__Bacteria;p__Bacteroidetes
total_10222245	k__Bacteria;p__Bacteroidetes
total_10222842	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10222993	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10225049	k__Bacteria;p__Actinobacteria
total_10226913	k__Bacteria
total_10227251	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1022768	k__Bacteria;p__Proteobacteria
total_10228115	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10228991	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10229291	k__Bacteria
total_10230127	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10230409	k__Bacteria
total_10232651	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10235989	k__Bacteria
total_10238631	k__Bacteria
total_10239262	k__Bacteria
total_10242573	k__Bacteria;p__Proteobacteria
total_10243658	k__Bacteria;p__Actinobacteria
total_10243700	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10247424	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10248538	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10249027	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10250617	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10252132	k__Bacteria
total_1025484	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_1025696	k__Bacteria;p__Bacteroidetes
total_10260143	k__Bacteria;p__Proteobacteria
total_102642	k__Bacteria
total_10264640	k__Bacteria
total_10266390	k__Bacteria;p__Actinobacteria
total_10266818	k__Bacteria
total_10267759	k__Bacteria
total_10267829	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10268367	k__Bacteria
total_10271641	k__Bacteria
total_10274013	k__Bacteria
total_10274539	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10275437	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10277373	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1027772	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1027975	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_102824	k__Bacteria
total_10286279	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10288160	k__Bacteria;p__Actinobacteria
total_10288561	k__Bacteria
total_10289428	k__Bacteria
total_10290071	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10291576	k__Bacteria
total_10292591	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10292967	k__Bacteria
total_10293235	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10293862	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10294115	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10297057	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10297748	k__Bacteria;p__Proteobacteria
total_10301735	k__Bacteria
total_10302957	k__Bacteria
total_10304226	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10305749	k__Bacteria
total_10306418	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1030878	k__Bacteria
total_10308887	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10309095	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10309426	k__Bacteria;p__Actinobacteria
total_1030988	k__Bacteria
total_1030993	Unclassified
total_10309940	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10310727	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10311743	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae
total_1031353	k__Bacteria
total_10314965	k__Bacteria;p__Actinobacteria
total_10316893	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10319395	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10321376	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10322698	k__Bacteria
total_10322963	k__Bacteria
total_10323574	k__Bacteria
total_1032404	k__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrosocosmicus;s__Thaumarchaeota_archaeon_MY3
total_10324372	k__Bacteria
total_10324596	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10326838	k__Bacteria
total_10327546	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales
total_10328034	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10329171	k__Bacteria
total_10329904	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10330637	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10330750	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_10332682	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10333046	k__Bacteria
total_10333048	k__Bacteria
total_10335210	k__Bacteria
total_10336009	k__Bacteria
total_10342549	Unclassified
total_10343565	k__Bacteria
total_10344920	k__Bacteria
total_10344922	k__Bacteria;p__Actinobacteria
total_10345637	k__Bacteria
total_10345638	k__Bacteria
total_10345957	k__Bacteria;p__Proteobacteria
total_10346956	Unclassified
total_10347764	Unclassified
total_10349349	k__Bacteria
total_10351316	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10352592	k__Bacteria
total_10352593	k__Bacteria
total_10352594	k__Bacteria
total_10352715	k__Bacteria
total_1036089	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10362774	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10362781	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10363596	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10363797	k__Bacteria
total_1036403	k__Bacteria;p__Actinobacteria
total_10364083	k__Bacteria;p__Proteobacteria
total_10365229	k__Bacteria;p__Actinobacteria
total_10366742	k__Bacteria
total_10368206	k__Bacteria;p__Bacteroidetes
total_10368207	k__Bacteria;p__Bacteroidetes
total_10368983	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_10369336	k__Bacteria
total_10369749	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10381472	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10381871	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_10381988	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10382764	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_103828	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10383980	k__Bacteria
total_10384099	k__Bacteria
total_10384700	k__Bacteria
total_1038586	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10386245	k__Bacteria;p__Actinobacteria
total_10388229	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium_sp._LC103
total_10389719	Unclassified
total_10390624	Unclassified
total_10390954	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10392841	k__Bacteria
total_10395039	k__Bacteria
total_10395147	Unclassified
total_10395277	k__Bacteria
total_1039832	k__Bacteria
total_10398354	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10399803	k__Bacteria;p__Actinobacteria
total_10401653	k__Eukaryota;p__Ascomycota
total_10402624	k__Bacteria
total_10402798	Unclassified
total_10404666	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10405743	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10405750	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10406178	Unclassified
total_10406503	k__Bacteria
total_10408587	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10409174	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10410406	k__Bacteria
total_10410407	k__Bacteria
total_1041112	k__Archaea
total_10411324	k__Bacteria
total_10411365	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10412710	k__Bacteria
total_10412819	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10413164	k__Bacteria
total_104146	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10416130	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1041629	k__Bacteria
total_10416897	k__Bacteria;p__Proteobacteria
total_1042008	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_1042348	k__Bacteria
total_10423792	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10424197	k__Bacteria
total_10425197	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10426437	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_10426550	k__Bacteria;p__Actinobacteria
total_1042786	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10428867	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10430735	k__Bacteria;p__Bacteroidetes
total_1043106	k__Bacteria;p__Proteobacteria
total_10434795	k__Bacteria
total_10441333	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10441954	k__Bacteria
total_1044199	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1044202	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10442043	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_10442091	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10442493	k__Bacteria
total_1044286	Unclassified
total_10443598	k__Bacteria
total_1044620	k__Bacteria
total_10447006	k__Bacteria
total_10447562	k__Bacteria
total_10447744	k__Bacteria
total_1045036	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium
total_10450893	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10451813	k__Bacteria
total_10451891	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10452659	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10454689	k__Bacteria
total_10455683	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10455811	k__Bacteria
total_10456479	k__Eukaryota;p__Basidiomycota
total_104573	k__Bacteria
total_10463425	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10464150	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10464863	k__Bacteria
total_10464884	k__Bacteria
total_10465017	k__Bacteria
total_10465804	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10465996	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10465997	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10467087	k__Archaea
total_1046837	k__Bacteria
total_10468373	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10471576	k__Bacteria
total_10471677	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10472369	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10474207	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_10474488	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10475713	k__Bacteria
total_10480006	k__Bacteria
total_10481567	k__Bacteria
total_1048788	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_10488602	k__Bacteria
total_10488748	k__Bacteria;p__Proteobacteria
total_10488815	k__Bacteria
total_10490970	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10493202	k__Bacteria;p__Proteobacteria
total_10493282	k__Bacteria
total_10495086	Unclassified
total_10495421	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10497958	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10501069	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_10502009	k__Bacteria
total_10502029	k__Bacteria
total_10502035	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
total_10502055	k__Bacteria;p__Bacteroidetes
total_10502063	k__Bacteria
total_10502067	k__Bacteria;p__Bacteroidetes
total_10502087	k__Bacteria
total_10502796	k__Bacteria
total_1050357	k__Bacteria
total_1050481	k__Archaea;p__Thaumarchaeota
total_10504943	k__Archaea;p__Thaumarchaeota
total_10505139	k__Bacteria
total_10506512	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium
total_10508089	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10513732	k__Bacteria
total_10514060	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10517672	Unclassified
total_10518885	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10519201	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10520009	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10520581	k__Bacteria
total_10521697	k__Bacteria
total_10521698	Unclassified
total_10522269	k__Bacteria
total_10523081	k__Bacteria
total_10523306	Unclassified
total_10529355	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Unclassified;f__Leptospiraceae;g__Leptospira
total_10529439	k__Bacteria
total_10530091	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10530955	k__Bacteria;p__Actinobacteria
total_10532826	k__Bacteria
total_10533456	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_jaspsi
total_10537298	k__Bacteria
total_10537300	k__Bacteria;p__Actinobacteria
total_10537859	k__Bacteria;p__Actinobacteria
total_10539661	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10540204	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10544024	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10552082	Unclassified
total_10554480	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10554708	k__Archaea;p__Thaumarchaeota
total_10556818	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10558094	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10560811	k__Bacteria;p__Candidatus_Tectomicrobia;c__Unclassified;o__Unclassified;f__Unclassified;g__Candidatus_Entotheonella;s__Candidatus_Entotheonella_sp._TSY2
total_10564149	k__Bacteria;p__Proteobacteria
total_10564541	Unclassified
total_10566612	k__Bacteria
