Query_id	Ko_id
total_10064760	K13766
total_10064762	K08677
total_1006502	K06979
total_10065134	K00826
total_10065223	K02335
total_10065389	K03722
total_10065461	K03529
total_10065623	K01945
total_10065640	K00798
total_10065714	K03529
total_10066081	K00329
total_10066094	K03046
total_10066105	K01961
total_10066171	K01849
total_10066553	K08316
total_10066765	K01890
total_100671	K01069
total_10067133	K01872
total_10067227	K01849
total_10067268	K01434
total_10067445	K03722
total_10067504	K03100
total_10067526	K02341
total_10067756	K02014
total_10067783	K15270
total_10068205	K01797
total_10068273	K00937
total_1006834	K00767
total_10068451	K01392
total_1006857	K01834
total_1006860	K06173
total_10068997	K15358
total_10069205	K01265
total_10069256	K00335
total_10069431	K01507
total_10069513	K01644
total_10069568	K01358
total_10069758	K06941
total_10069833	K07284
total_1006990	K06978
total_10069947	K03777
total_10069949	K00839
total_1006996	K01580
total_10070028	K01879
total_10070031	K02372
total_10070062	K07106
total_10070071	K00281
total_1007011	K01810
total_1007012	K14645
total_1007014	K00681
total_10070277	K03636
total_10070278	K11996
total_10070326	K01726
total_10070391	K01659
total_10070435	K03584
total_10070630	K01419
total_10070658	K01945
total_10070781	K01596
total_10070915	K02933
total_10071052	K00554
total_1007119	K08289
total_10071298	K01923
total_10071384	K00384
total_10071396	K01286
total_10071581	K07568
total_10071596	K00382
total_10071611	K02341
total_10071695	K01077
total_10071708	K03320
total_10072021	K00540
total_10072031	K01423
total_10072429	K01142
total_10072447	K01322
total_10072604	K02911
total_10072649	K01968
total_10072809	K02879
total_10072857	K01814
total_10073245	K01469
total_10073850	K01271
total_10074004	K00626
total_10074082	K01661
total_10074211	K08676
total_10074362	K01304
total_10074388	K03089
total_10074665	K00982
total_10074773	K01878
total_10074842	K02621
total_10074853	K01322
total_10075133	K06969
total_10075369	K02275
total_1007544	K01459
total_10075886	K01647
total_10076142	K01868
total_10076300	K00560
total_10076302	K03432
total_10076345	K00762
total_10076527	K07263
total_10076541	K02315
total_10076684	K07462
total_10076713	K01745
total_10076854	K01778
total_100770	K03568
total_10077020	K06173
total_10077067	K01868
total_10077181	K02242
total_10077192	K00856
total_10077195	K12063
total_10077468	K00282
total_10077481	K01872
total_10077489	K09011
total_10077738	K01791
total_10078038	K01848
total_10078153	K07493
total_10078416	K00336
total_10078422	K03529
total_1007857	K01610
total_10078782	K10709
total_10078843	K06927
total_10078926	K00331
total_10078927	K00332
total_10078928	K00333
total_10079239	K03733
total_10079459	K01358
total_10079464	K09458
total_10079904	K15358
total_10079945	K03733
total_10080159	K02886
total_10080160	K02892
total_10080202	K03531
total_10080331	K01595
total_10080422	K02935
total_10080423	K02864
total_10080596	K03215
total_10080703	K00655
total_10080865	K07152
total_10080928	K02914
total_10081006	K07566
total_10081066	K01207
total_10081098	K01295
total_1008114	K02601
total_10081320	K02115
total_10081418	K00529
total_10081582	K03574
total_10081968	K02600
total_10082086	K01284
total_10082187	K15659
total_10082195	K03575
total_10082358	K01652
total_10082578	K06877
total_10082836	K03517
total_10082868	K01653
total_10082898	K06969
total_10083047	K02172
total_10083106	K15866
total_10083188	K01971
total_10083193	K01284
total_10083195	K00282
total_1008330	K06677
total_10083551	K13051
total_10083569	K03574
total_10083961	K01759
total_10084029	K01476
total_10084309	K00826
total_10084573	K00161
total_1008485	K02492
total_10085359	K02299
total_10085360	K02298
total_10085697	K00499
total_10085786	K00936
total_10086040	K14441
total_10086305	K03305
total_10086428	K03733
total_10086541	K01873
total_10086653	K01879
total_10087019	K15358
total_10087171	K02948
total_10087660	K05810
total_10087746	K06442
total_10087747	K00858
total_1008777	K01759
total_1008788	K03531
total_10088223	K00648
total_1008909	K01848
total_1008911	K06048
total_1008912	K01436
total_1008915	K00382
total_100892	K00574
total_10089249	K02834
total_10089281	K05592
total_10089328	K02274
total_10089438	K00322
total_10089456	K00135
total_10089698	K04075
total_10089783	K01923
total_10090461	K01811
total_100906	K10773
total_10090604	K07566
total_10090647	K00936
total_10090745	K01262
total_10090900	K00554
total_10090942	K01362
total_10090960	K02276
total_10091209	K02945
total_10091352	K01866
total_10091384	K02986
total_10091595	K00341
total_10091615	K07574
total_10091744	K02113
total_10091772	K02335
total_10091799	K15223
total_10091811	K01610
total_10092105	K08281
total_10092139	K00609
total_10092363	K06941
total_10092485	K02600
total_10092653	K01869
total_10092761	K00088
total_10092951	K06890
total_10092970	K03575
total_10093138	K03585
total_10093559	K02892
total_10093718	K03106
total_10094073	K01876
total_10094763	K01338
total_10094831	K06442
total_10094938	K01956
total_10094966	K01661
total_1009500	K03284
total_1009502	K01681
total_10095469	K03529
total_10095484	K01241
total_10095515	K00936
total_10095545	K02621
total_10095614	K03517
total_1009570	K00657
total_10096420	K01834
total_10096537	K04075
total_10096566	K01623
total_10096627	K02933
total_10096630	K01933
total_10096643	K01695
total_10097106	K01696
total_10097194	K00019
total_10097547	K01714
total_10097763	K03072
total_10097895	K01593
total_10098	K00030
total_10098365	K02188
total_10098551	K07032
total_1009887	K01265
total_1009888	K10563
total_10098983	K00936
total_10099057	K03046
total_10099165	K02906
total_10099204	K07029
total_10099258	K01474
total_10099356	K01890
total_10099362	K02878
total_10099364	K02961
total_10099373	K02897
total_10099398	K03595
total_10099404	K00676
total_1010003	K03088
total_1010006	K00821
total_10100160	K05522
total_10100170	K07263
total_10100278	K01591
total_10100413	K03733
total_10100519	K13051
total_10100878	K01890
total_10100897	K01081
total_10101164	K01649
total_10101178	K00290
total_10101698	K03631
total_10101999	K02343
total_10102041	K02963
total_10102089	K00324
total_10102321	K07516
total_10102323	K07568
total_10102567	K05540
total_10102675	K12685
total_10102817	K02931
total_10102948	K03432
total_1010340	K03797
total_1010341	K02909
total_10103835	K01889
total_10103933	K01963
total_10104097	K01489
total_10104233	K00161
total_10104275	K00324
total_10104508	K03091
total_10104585	K09978
total_10104614	K09458
total_10104682	K03305
total_10104914	K01709
total_10104926	K01209
total_10104973	K01338
total_10104988	K09811
total_10105378	K01259
total_10105550	K01676
total_10105803	K00024
total_10105824	K01721
total_10105986	K03517
total_10106395	K02907
total_10106450	K02888
total_10106882	K01868
total_10107035	K11755
total_10107045	K07762
total_10107046	K02837
total_10107245	K02959
total_10107562	K03118
total_10107563	K03117
total_10107829	K03568
total_10108018	K01610
total_10108465	K00384
total_10108569	K00161
total_10108768	K00382
total_10109144	K01876
total_1010916	K01483
total_10109324	K00121
total_10109328	K01759
total_10109342	K06446
total_10109396	K11175
total_10109470	K01406
total_10109620	K00271
total_10109640	K03595
total_10109678	K09457
total_10109858	K01866
total_10110003	K01971
total_10110033	K01872
total_10110209	K04771
total_101104	K01409
total_10110541	K01610
total_10110618	K04075
total_10111027	K06137
total_10111277	K01338
total_10111374	K03047
total_10111496	K01698
total_10111666	K00568
total_10111841	K00339
total_10111851	K01945
total_10111853	K07240
total_101122	K00526
total_10112323	K07462
total_10112422	K03043
total_10112567	K02109
total_10112577	K03043
total_10112849	K03076
total_10112850	K02952
total_10112851	K02948
total_10112852	K02986
total_1011290	K06907
total_1011297	K05837
total_10113	K01358
total_1011302	K00571
total_10113685	K15358
total_10113887	K00265
total_10114299	K09812
total_10114410	K01284
total_10114467	K05786
total_1011448	K01593
total_10114532	K00674
total_10114533	K01439
total_10114565	K06442
total_10114687	K00341
total_10114932	K02315
total_10115087	K02961
total_10115198	K09018
total_10115431	K00969
total_10115451	K00342
total_10116618	K03072
total_10116741	K01469
total_1011678	K03588
total_10116815	K01358
total_10116831	K01301
total_10116944	K01873
total_10117092	K00184
total_10117240	K02340
total_10117548	K00329
total_10117569	K04772
total_10117770	K03469
total_10117771	K00119
total_10117895	K01876
total_10118035	K00937
total_10118115	K03798
total_10118124	K01295
total_10118156	K15778
total_1011828	K03703
total_10118394	K15371
total_101187	K03559
total_10119196	K02986
total_10119289	K03631
total_10119293	K00721
total_10119314	K01358
total_10119321	K03090
total_10119393	K01265
total_10119502	K01933
total_10119587	K01563
total_10119588	K01754
total_10119590	K03624
total_10119638	K01968
total_10119689	K01406
total_10119695	K02298
total_10119750	K02986
total_10119860	K03046
total_10119874	K01951
total_10119954	K15034
total_10120900	K14162
total_10121021	K04488
total_10121120	K00135
total_10121290	K07220
total_10121314	K08641
total_10121359	K01768
total_10121363	K02956
total_10121455	K02111
total_10121457	K02357
total_10121586	K01610
total_10121706	K12251
total_10121717	K03574
total_10122004	K06044
total_10122028	K01962
total_10122029	K01417
total_10122138	K02892
total_10122206	K01620
total_10122659	K00301
total_10122725	K02890
total_10122859	K03787
total_10122907	K02428
total_10122979	K01903
total_10123309	K02357
total_1012331	K04763
total_10123358	K03723
total_10123518	K00057
total_10123901	K03043
total_10123959	K00599
total_10123975	K00800
total_10124046	K01040
total_10124069	K04765
total_10124202	K01520
total_10124286	K05520
total_10124341	K00790
total_10124509	K01265
total_10125075	K01494
total_10125080	K02909
total_10125112	K00826
total_10125116	K07106
total_10125143	K00858
total_10125247	K02564
total_10125478	K01687
total_10125672	K01262
total_10125730	K02992
total_1012632	K14987
total_1012636	K00936
total_10126526	K03531
total_10126559	K01362
total_10126581	K06287
total_1012667	K01848
total_10127102	K03439
total_10127128	K02013
total_10127281	K00342
total_10127476	K13282
total_10127520	K03531
total_10127845	K07183
total_10128132	K07042
total_10128133	K00599
total_10128136	K11996
total_10128207	K02970
total_10128219	K01952
total_10128283	K01069
total_10128407	K13953
total_10128440	K01174
total_10128566	K00759
total_10128570	K06153
total_10128584	K00676
total_10128879	K15633
total_10129072	K04094
total_10129097	K02879
total_10129119	K02601
total_101292	K13243
total_1012922	K03320
total_10129693	K03101
total_1012971	K01029
total_10129900	K02860
total_1013003	K03625
total_10130098	K01876
total_1013010	K07568
total_10130358	K02519
total_10130362	K00228
total_10130416	K00821
total_10130517	K02274
total_10130567	K15270
total_10130609	K00872
total_1013073	K03100
total_10130812	K15532
total_10131047	K01571
total_10131059	K01480
total_10131060	K01470
total_10131116	K03046
total_10131481	K01406
total_10131535	K00891
total_10131668	K15342
total_1013167	K03833
total_10131931	K00343
total_10132104	K01409
total_10132120	K01752
total_10132142	K01939
total_10132156	K00027
total_1013250	K03571
total_10132510	K06888
total_10132550	K14645
total_10132653	K02931
total_10132655	K02874
total_10132664	K01322
total_1013279	K02967
total_1013280	K02357
total_10133076	K10563
total_10133488	K02871
total_10133489	K02996
total_10134209	K03701
total_10134386	K01179
total_10134473	K01495
total_10134592	K00324
total_10134783	K00761
total_10134901	K01843
total_10134905	K07315
total_10134906	K00257
total_1013493	K12251
total_1013495	K03564
total_10134995	K03185
total_10135289	K09987
total_10135422	K03043
total_1013555	K00658
total_10135618	K00384
total_10136180	K01643
total_10136268	K03574
total_10136384	K09812
total_1013672	K04566
total_10136840	K01338
total_10136841	K01358
total_10136986	K01303
total_10137069	K00053
total_10137110	K00344
total_10137308	K01623
total_10137309	K01284
total_10137381	K01652
total_10137606	K02897
total_10137651	K00128
total_10137672	K00001
total_10137673	K06915
total_10137982	K00514
total_10137983	K02291
total_10137984	K00810
total_10138235	K01903
total_10138372	K00931
total_10138771	K02994
total_10138827	K06896
total_10139179	K13239
total_10139225	K00799
total_10139294	K01759
total_10139387	K00088
total_10139400	K00928
total_10139401	K00568
total_10139433	K10026
total_10139508	K02316
total_10139700	K02986
total_10139731	K01469
total_10139859	K03592
total_10139924	K03575
total_1013995	K03168
total_10140013	K03100
total_10140021	K03742
total_10140136	K02340
total_10140235	K07455
total_1014025	K08259
total_10140426	K01144
total_10140554	K02276
total_10140606	K14162
total_10140620	K06442
total_10140671	K06168
total_10140715	K03046
total_10140727	K00609
total_10141027	K03733
total_10141028	K01920
total_10141039	K02115
total_10141078	K07106
total_10141699	K02887
total_10141811	K00356
total_10141889	K01439
total_1014197	K01006
total_10142111	K02838
total_10142147	K07056
total_10142557	K14058
total_10142782	K01916
total_10143483	K07243
total_10143517	K01415
total_10143576	K02621
total_10143688	K02259
total_10143926	K02519
total_10144692	K12454
total_10144696	K02835
total_10144856	K06213
total_10145175	K00382
total_10145260	K01858
total_1014546	K01409
total_10146024	K00340
total_10146043	K02876
total_10146063	K01415
total_1014618	K11293
total_10146188	K01593
total_1014644	K01873
total_10146572	K01749
total_10146588	K03092
total_10146642	K00135
total_10146927	K00676
total_10146973	K07556
total_10146974	K00942
total_10147092	K01361
total_10147127	K02986
total_10147147	K02906
total_10147437	K01749
total_10147467	K01872
total_10147627	K01975
total_1014769	K04773
total_10147712	K01719
total_10147713	K01749
total_10147733	K01580
total_10147795	K00433
total_10147802	K01589
total_10147868	K00821
total_10148120	K05540
total_10148165	K01338
total_10148185	K00215
total_10148230	K00140
total_10148264	K06996
total_10148701	K07029
total_10148901	K01144
total_10148988	K09903
total_10148989	K02838
total_10148992	K11749
total_1014920	K00135
total_1014921	K14161
total_10149728	K08676
total_10149736	K03703
total_10149939	K06131
total_10149982	K00945
total_10149990	K01362
total_1015054	K03100
total_10150544	K00472
total_10150545	K01467
total_10150609	K02301
total_10150749	K00257
total_10150833	K02618
total_10150963	K02926
total_10151341	K01238
total_10151342	K00763
total_10151547	K15270
total_10151718	K01745
total_10151782	K01438
total_10151986	K02945
total_10152022	K00821
total_1015226	K02864
total_10152344	K03821
total_10152374	K02931
total_10152575	K02931
total_10152641	K01241
total_10152803	K05520
total_10152846	K01209
total_10153182	K07071
total_10153340	K02274
total_10153349	K03088
total_10153585	K02600
total_10153616	K01652
total_10153680	K00799
total_10153764	K00523
total_10153882	K14162
total_10153980	K02863
total_10154210	K11175
total_10154415	K06168
total_10154785	K03574
total_10154828	K03466
total_10154943	K07217
total_10155160	K02986
total_10155309	K01159
total_1015538	K03595
total_10155551	K01872
total_10155597	K03889
total_1015569	K01679
total_10155693	K02298
total_10155758	K01952
total_10155818	K00873
total_10156015	K01584
total_10156489	K01463
total_10156632	K01647
total_10156634	K01679
total_10156752	K12543
total_10156761	K04763
total_101569	K01952
total_10157160	K06920
total_10157322	K12600
total_10157472	K01151
total_10157616	K10806
total_10157647	K04773
total_10157654	K01709
total_10157775	K01770
total_10157779	K07052
total_10158280	K01269
total_1015840	K14267
total_10158425	K01585
total_10158433	K03787
total_10158455	K01885
total_10158469	K01081
total_101586	K02469
total_10158634	K02986
total_10158654	K00568
total_10158949	K02887
total_10159081	K00858
total_10159163	K07263
total_10159273	K09699
total_10159590	K00286
total_101596	K00337
total_10159610	K01843
total_10159612	K04487
total_10159613	K01463
total_10159971	K03595
total_101601	K02274
total_10160340	K01991
total_10160364	K01652
total_10160473	K05522
total_10160515	K01916
total_10160758	K00784
total_10160885	K03628
total_10160901	K02301
total_10161011	K01585
total_10161023	K00873
total_10161174	K00639
total_101616	K00990
total_10162148	K02860
total_10162199	K00936
total_10162227	K05896
total_10162254	K06168
total_10162502	K00119
total_10162615	K04775
total_1016268	K01406
total_10163025	K01689
total_1016311	K01623
total_10163302	K03088
total_10163604	K06179
total_10163678	K00135
total_10164027	K01962
total_10164166	K00684
total_10164171	K03046
total_10164283	K02343
total_10164307	K03723
total_1016443	K07462
total_1016445	K02994
total_10164531	K01259
total_1016481	K00681
total_10164812	K01485
total_1016512	K01791
total_10165429	K03564
total_10165582	K03787
total_10165675	K05808
total_1016573	K03089
total_10165755	K00609
total_10166068	K00088
total_10166206	K01791
total_10166516	K00680
total_10166722	K01524
total_10166956	K03531
total_10167122	K00756
total_10167158	K07313
total_10167414	K11996
total_10167580	K01963
total_10167597	K01890
total_10167675	K00839
total_10167700	K06447
total_10167835	K02959
total_10168038	K02834
total_10168194	K03439
total_10168228	K07017
total_10168304	K00020
total_101684	K03517
total_1016853	K01633
total_1016854	K00950
total_1016855	K00969
total_1016857	K06941
total_1016858	K01876
total_1016861	K07042
total_1016865	K01848
total_1016868	K01969
total_10168745	K04763
total_10169137	K01271
total_10169176	K01406
total_10169526	K01961
total_10169842	K01589
total_10170293	K02274
total_101703	K07126
total_10170384	K00121
total_10170404	K01869
total_10170425	K03106
total_10170959	K02881
total_10171225	K00799
total_10171326	K02950
total_1017151	K00175
total_10171858	K03701
total_10171902	K00059
total_10172037	K07220
total_10172249	K03969
total_1017235	K02777
total_10172472	K00817
total_10172577	K01756
total_10172763	K02301
total_1017294	K02863
total_10173042	K02916
total_10173116	K03790
total_10173122	K02519
total_10173124	K02834
total_10173225	K00680
total_10173244	K11784
total_10173360	K00951
total_10173510	K00826
total_10173632	K03701
total_10173916	K03589
total_1017395	K00685
total_10174185	K01571
total_10174371	K02600
total_1017439	K02014
total_10174398	K09903
total_10174433	K00798
total_1017469	K01563
total_1017491	K00382
total_10174946	K00257
total_1017504	K11749
total_10175067	K00969
total_10175093	K00207
total_10175095	K01464
total_10175497	K07090
total_10175564	K02887
total_10175599	K03531
total_1017565	K03565
total_10176008	K02338
total_1017601	K03296
total_10176474	K00003
total_1017648	K03701
total_1017658	K00318
total_1017769	K01902
total_10177724	K07568
total_10177749	K00799
total_10177905	K01649
total_10177907	K00826
total_10178366	K14160
total_10178739	K07263
total_10178854	K01069
total_10178884	K01295
total_10178999	K02109
total_10179074	K06975
total_10179204	K01470
total_10179217	K00184
total_10179264	K03797
total_10179468	K02611
total_101796	K08884
total_10179765	K15987
total_10179961	K00648
total_10180043	K02948
total_10180044	K02952
total_10180062	K02926
total_1018048	K14415
total_10180826	K09710
total_10180875	K02885
total_10180876	K02912
total_10180926	K01778
total_10182301	K00282
total_1018251	K01960
total_10183218	K00937
total_10183254	K14162
total_10183259	K00602
total_10183267	K02871
total_10183308	K02427
total_10183325	K02601
total_10183647	K02259
total_10183699	K03517
total_10183798	K03589
total_10183868	K10563
total_10184068	K09883
total_10184090	K00135
total_1018423	K00936
total_1018425	K05518
total_10185100	K00858
total_1018522	K06941
total_1018555	K03587
total_10185657	K02371
total_10185729	K01787
total_10185741	K08677
total_1018587	K00942
total_10185888	K13694
total_10186045	K13953
total_10186139	K02356
total_10186163	K09457
total_10186165	K01011
total_10186487	K01361
total_10186602	K07278
total_10186842	K02916
total_10186865	K01939
total_10186988	K01447
total_10187023	K01907
total_10187103	K01879
total_10187135	K00135
total_10187174	K02301
total_10187289	K01620
total_10187345	K01759
total_10187355	K15451
total_10187522	K02988
total_10187585	K14441
total_10187710	K01956
total_10187956	K15358
total_10188131	K01892
total_10188306	K00335
total_10188646	K01883
total_10188783	K00088
total_10188827	K01679
total_1018891	K14742
total_1018892	K03789
total_10188959	K00135
total_1018905	K02316
total_1018910	K01956
total_10189348	K01890
total_10189391	K07239
total_10189720	K07263
total_1018983	K13280
total_1018986	K02863
total_10190095	K15633
total_10190105	K08300
total_1019012	K09933
total_10190131	K01610
total_10190152	K00626
total_10190242	K09458
total_10190503	K10563
