Query_id	tax
total_10024241	k__Bacteria
total_1002495	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10025133	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10025134	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10025337	k__Bacteria;p__Actinobacteria
total_10026062	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10026272	k__Bacteria
total_10026442	k__Bacteria
total_10026619	k__Bacteria;p__Proteobacteria
total_1002706	k__Bacteria
total_10028472	k__Bacteria;p__Proteobacteria
total_10028473	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10028474	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10028475	k__Bacteria;p__Proteobacteria
total_10028943	k__Bacteria;p__Actinobacteria
total_10029097	k__Bacteria;p__Firmicutes
total_10029242	k__Bacteria
total_1002941	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10029516	k__Bacteria
total_10029550	k__Bacteria
total_1002973	k__Bacteria
total_10029766	k__Bacteria;p__Actinobacteria
total_10029774	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10030036	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10030910	k__Bacteria
total_10030915	k__Bacteria
total_10030922	k__Bacteria
total_10030983	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10031043	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10031266	k__Bacteria
total_10031356	k__Bacteria
total_10031433	k__Bacteria
total_1003150	k__Bacteria
total_10031699	k__Bacteria
total_10031700	k__Bacteria
total_1003203	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10032160	k__Bacteria;p__Bacteroidetes
total_10032935	k__Bacteria
total_1003307	k__Bacteria
total_10033091	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10034236	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10034385	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_10034695	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10035345	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10035346	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_sp._URHD0057
total_10035347	Unclassified
total_10035564	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10035565	k__Bacteria
total_10035998	Unclassified
total_100363	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10036482	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10036498	k__Bacteria
total_10036520	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_100366	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10036737	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10037320	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10037689	k__Bacteria
total_10038261	k__Bacteria
total_10039347	k__Bacteria
total_10039879	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10039940	Unclassified
total_10040300	k__Bacteria
total_10040435	k__Bacteria
total_10042184	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10043146	k__Bacteria;p__Actinobacteria
total_1004317	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10043234	k__Archaea
total_10043388	k__Bacteria
total_10043413	k__Bacteria
total_10043415	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10043543	k__Bacteria
total_10044189	k__Bacteria
total_10044665	k__Bacteria
total_10044694	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10044911	k__Bacteria
total_10045227	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10045836	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10046380	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10046737	k__Bacteria
total_10046739	k__Bacteria
total_1004721	k__Bacteria
total_10047424	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10047730	k__Bacteria
total_10047811	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10048124	k__Bacteria
total_10048758	k__Bacteria
total_10048865	k__Bacteria;p__Proteobacteria
total_10049052	k__Bacteria
total_1004910	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10049283	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10049593	k__Bacteria
total_10049632	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10049784	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10050819	Unclassified
total_10050822	k__Bacteria
total_10050823	k__Bacteria
total_1005108	k__Bacteria
total_10051731	k__Bacteria
total_10051806	k__Bacteria
total_10051886	Unclassified
total_10052433	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10053175	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10053227	k__Bacteria
total_1005447	k__Bacteria
total_1005448	k__Bacteria
total_1005451	k__Bacteria
total_1005515	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10055269	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10055324	k__Bacteria
total_10055754	k__Bacteria
total_1005582	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1005583	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10055953	k__Bacteria
total_10056022	k__Bacteria
total_10056023	k__Bacteria
total_10056404	k__Bacteria
total_10057042	k__Bacteria
total_10057428	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10057539	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10058080	k__Bacteria
total_10058111	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10058928	k__Bacteria
total_10059117	k__Bacteria
total_10059578	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10059972	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10060152	k__Bacteria;p__Actinobacteria
total_10060271	k__Bacteria;p__Proteobacteria
total_10060509	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10060602	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10060708	k__Bacteria
total_10061598	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10061599	k__Bacteria
total_10061669	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10061762	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10062291	k__Bacteria;p__Proteobacteria
total_10062292	k__Bacteria;p__Proteobacteria
total_10062530	k__Bacteria
total_10062832	k__Bacteria;p__Proteobacteria
total_10062924	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1006297	k__Bacteria
total_10063426	k__Bacteria;p__Bacteroidetes
total_10063468	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10063544	k__Bacteria
total_10063758	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10064142	k__Bacteria
total_10064144	k__Bacteria
total_10064233	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10064851	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae
total_10065389	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10066467	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10066569	Unclassified
total_10066893	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10067227	k__Bacteria;p__Actinobacteria
total_10067321	k__Bacteria
total_10067385	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10067445	k__Bacteria
total_10067446	k__Bacteria
total_10067783	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10068146	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_1006860	k__Bacteria
total_10068712	k__Bacteria;p__Proteobacteria
total_10068724	k__Bacteria
total_10068838	k__Bacteria;p__Firmicutes
total_10069389	k__Bacteria
total_10069833	k__Bacteria;p__Actinobacteria
total_10069837	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10069947	k__Bacteria
total_1006996	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10070027	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10070028	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10070062	k__Bacteria;p__Bacteroidetes
total_10070071	k__Bacteria
total_10070278	k__Bacteria
total_10070391	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10070915	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10071873	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10071989	k__Bacteria
total_10072021	k__Bacteria
total_10072041	k__Bacteria
total_10072817	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1007283	k__Bacteria
total_10073113	k__Bacteria
total_10073239	k__Bacteria
total_1007357	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10073762	k__Bacteria
total_10073843	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10073844	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10074082	k__Bacteria;p__Actinobacteria
total_10074533	k__Bacteria;p__Proteobacteria
total_10075030	k__Bacteria
total_10076314	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10076345	k__Bacteria;p__Actinobacteria
total_10077088	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10077112	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10077183	k__Bacteria
total_10077184	k__Bacteria
total_10077192	k__Bacteria
total_10077468	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10077489	k__Bacteria;p__Bacteroidetes
total_10077599	k__Bacteria
total_1007761	k__Bacteria
total_10078153	k__Bacteria
total_10078400	k__Bacteria
total_10079583	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10080075	k__Bacteria
total_10080160	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10080422	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10080532	k__Bacteria
total_10080928	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10081887	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1008207	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10082392	k__Bacteria;p__Proteobacteria
total_10082434	k__Bacteria
total_10082435	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
total_10082488	k__Bacteria
total_10082898	k__Bacteria
total_10083360	k__Bacteria
total_10083772	k__Bacteria;p__Proteobacteria
total_10083961	k__Bacteria
total_10083962	k__Bacteria
total_10084029	k__Bacteria
total_10085077	k__Bacteria;p__Proteobacteria
total_10085120	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10085581	k__Bacteria
total_10085697	k__Bacteria
total_10086428	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_1008700	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10087171	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10087294	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10089260	k__Bacteria
total_10089281	k__Bacteria
total_10089329	k__Bacteria
total_1008963	k__Bacteria
total_10089647	k__Archaea
total_10090745	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_100908	k__Bacteria;p__Bacteroidetes
total_10090900	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10091112	k__Bacteria
total_10091323	k__Bacteria
total_10091352	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10091528	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1009176	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10091799	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10092363	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1009257	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10093559	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10094066	k__Bacteria
total_10094596	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10094831	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10094938	k__Bacteria
total_100956	k__Bacteria
total_1009570	k__Bacteria
total_10095824	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10096643	k__Bacteria
total_1009675	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_1009676	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10096804	k__Bacteria
total_10097106	k__Bacteria;p__Actinobacteria
total_10097404	k__Bacteria
total_10097405	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10098199	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10098384	k__Bacteria;p__Actinobacteria
total_10098982	Unclassified
total_10099235	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10099359	k__Bacteria
total_10099365	k__Bacteria
total_10099398	k__Bacteria
total_10100278	k__Bacteria
total_10101031	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10101328	k__Bacteria;p__Actinobacteria
total_10102041	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10102567	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10102594	k__Bacteria
total_10102595	k__Bacteria;p__Proteobacteria
total_10102971	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1010341	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10103623	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10103805	k__Bacteria
total_10103835	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10104688	k__Bacteria
total_10104926	k__Bacteria;p__Bacteroidetes
total_10105158	k__Bacteria
total_10105378	k__Bacteria;p__Proteobacteria
total_10106232	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10106381	k__Bacteria
total_10106384	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10106395	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_10107009	k__Bacteria
total_10107011	k__Bacteria
total_10107033	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
total_10107035	k__Bacteria;p__Bacteroidetes
total_10107038	k__Bacteria
total_10107041	k__Bacteria;p__Bacteroidetes
total_10107044	k__Bacteria
total_10107046	k__Bacteria;p__Bacteroidetes
total_10107150	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1010769	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10107706	k__Bacteria
total_10107728	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_10107729	k__Bacteria
total_10107854	k__Bacteria
total_10108465	k__Bacteria;p__Proteobacteria
total_10108987	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10109431	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10109434	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10109640	k__Bacteria
total_10109680	Unclassified
total_10109706	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_1011022	k__Bacteria
total_1011023	k__Bacteria
total_10110680	k__Bacteria
total_10110713	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10112426	k__Bacteria;p__Bacteroidetes
total_10112670	k__Bacteria
total_10112849	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_10112850	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10112851	k__Bacteria
total_10112852	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10112853	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_1011297	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10112976	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10113576	k__Bacteria
total_10114353	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10114467	k__Bacteria
total_10114502	Unclassified
total_10115087	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10115105	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10116265	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10116871	k__Bacteria
total_10116944	k__Bacteria
total_1011736	k__Bacteria
total_10117403	k__Archaea
total_10117770	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10117771	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1011828	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10119121	k__Bacteria;p__candidate_division_NC10;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__candidate_division_NC10_bacterium_CSP1-5
total_10119133	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__Rudaea_cellulosilytica
total_10119289	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10119588	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10119590	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1012060	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10120900	k__Bacteria
total_10121290	k__Bacteria;p__Bacteroidetes
total_10121363	k__Bacteria
total_10121584	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10121776	k__Bacteria;p__Proteobacteria
total_10122015	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10122016	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10122122	k__Bacteria
total_10122123	k__Bacteria
total_10122124	k__Bacteria
total_10122725	k__Bacteria;p__Actinobacteria
total_10122751	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10125080	k__Bacteria
total_10125730	k__Bacteria;p__Actinobacteria
total_10125803	k__Bacteria;p__Actinobacteria
total_10126140	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10126483	k__Bacteria
total_10126559	k__Bacteria
total_10127515	k__Bacteria
total_10127844	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10127845	Unclassified
total_10128070	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_1012812	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1012813	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1012814	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_101285	k__Bacteria;p__Actinobacteria
total_10128584	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10129183	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae
total_10129184	k__Bacteria
total_1013003	k__Bacteria
total_10130609	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10131046	k__Bacteria
total_10131047	k__Bacteria
total_10131668	k__Bacteria
total_10132509	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa_kalamazoonesis
total_10132510	k__Bacteria
total_10132550	Unclassified
total_10132653	k__Bacteria
total_10132689	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10133673	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10134127	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1013493	k__Bacteria
